Category: All categories

Week,bitcoin: (United States)
2020-01-05,13
2020-01-12,13
2020-01-19,12
2020-01-26,13
2020-02-02,14
2020-02-09,16
2020-02-16,14
2020-02-23,14
2020-03-01,12
2020-03-08,24
2020-03-15,23
2020-03-22,17
2020-03-29,14
2020-04-05,15
2020-04-12,15
2020-04-19,15
2020-04-26,20
2020-05-03,22
2020-05-10,27
2020-05-17,17
2020-05-24,15
2020-05-31,15
2020-06-07,14
2020-06-14,12
2020-06-21,12
2020-06-28,12
2020-07-05,13
2020-07-12,15
2020-07-19,13
2020-07-26,22
2020-08-02,20
2020-08-09,17
2020-08-16,17
2020-08-23,13
2020-08-30,14
2020-09-06,12
2020-09-13,11
2020-09-20,10
2020-09-27,10
2020-10-04,11
2020-10-11,12
2020-10-18,18
2020-10-25,19
2020-11-01,18
2020-11-08,20
2020-11-15,32
2020-11-22,34
2020-11-29,31
2020-12-06,25
2020-12-13,42
2020-12-20,40
2020-12-27,60
2021-01-03,97
2021-01-10,97
2021-01-17,59
2021-01-24,58
2021-01-31,51
2021-02-07,87
2021-02-14,82
2021-02-21,86
2021-02-28,59
2021-03-07,55
2021-03-14,56
2021-03-21,50
2021-03-28,49
2021-04-04,42
2021-04-11,61
2021-04-18,73
2021-04-25,51
2021-05-02,48
2021-05-09,69
2021-05-16,100
2021-05-23,69
2021-05-30,47
2021-06-06,54
2021-06-13,42
2021-06-20,49
2021-06-27,35
2021-07-04,31
2021-07-11,29
2021-07-18,34
2021-07-25,38
2021-08-01,32
2021-08-08,36
2021-08-15,30
2021-08-22,30
2021-08-29,27
2021-09-05,38
2021-09-12,27
2021-09-19,35
2021-09-26,28
2021-10-03,34
2021-10-10,39
2021-10-17,53
2021-10-24,46
2021-10-31,36
2021-11-07,42
2021-11-14,39
2021-11-21,36
2021-11-28,39
2021-12-05,43
2021-12-12,36
2021-12-19,33
2021-12-26,31
2022-01-02,38
2022-01-09,36
2022-01-16,42
2022-01-23,54
2022-01-30,36
2022-02-06,36
2022-02-13,33
2022-02-20,40
2022-02-27,35
2022-03-06,34
