Category: All categories

Week,ethereum: (United States)
2020-01-05,2
2020-01-12,3
2020-01-19,2
2020-01-26,2
2020-02-02,3
2020-02-09,5
2020-02-16,4
2020-02-23,3
2020-03-01,2
2020-03-08,3
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,2
2020-04-19,3
2020-04-26,4
2020-05-03,3
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,4
2020-07-26,7
2020-08-02,8
2020-08-09,6
2020-08-16,5
2020-08-23,4
2020-08-30,6
2020-09-06,4
2020-09-13,3
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,4
2020-11-01,4
2020-11-08,5
2020-11-15,8
2020-11-22,12
2020-11-29,10
2020-12-06,7
2020-12-13,10
2020-12-20,10
2020-12-27,16
2021-01-03,50
2021-01-10,35
2021-01-17,26
2021-01-24,30
2021-01-31,41
2021-02-07,47
2021-02-14,46
2021-02-21,42
2021-02-28,26
2021-03-07,31
2021-03-14,26
2021-03-21,20
2021-03-28,29
2021-04-04,32
2021-04-11,45
2021-04-18,43
2021-04-25,42
2021-05-02,100
2021-05-09,97
2021-05-16,79
2021-05-23,64
2021-05-30,43
2021-06-06,35
2021-06-13,28
2021-06-20,34
2021-06-27,23
2021-07-04,19
2021-07-11,17
2021-07-18,20
2021-07-25,23
2021-08-01,39
2021-08-08,38
2021-08-15,29
2021-08-22,25
2021-08-29,36
2021-09-05,33
2021-09-12,21
2021-09-19,25
2021-09-26,20
2021-10-03,25
2021-10-10,27
2021-10-17,37
2021-10-24,39
2021-10-31,39
2021-11-07,45
2021-11-14,38
2021-11-21,30
2021-11-28,35
2021-12-05,32
2021-12-12,30
2021-12-19,23
2021-12-26,24
2022-01-02,30
2022-01-09,28
2022-01-16,27
2022-01-23,33
2022-01-30,20
2022-02-06,19
2022-02-13,17
2022-02-20,17
2022-02-27,15
2022-03-06,15
